time,v1,v2,v3,i12,i23
0.0216,8.76306680043863,4.38153340021932,4.38153340021932,4.38153340021932,0
0.0217,8.60742027003944,4.30371013501972,4.30371013501972,4.30371013501972,1.11022302462516e-16
0.0218,8.44327925502015,4.22163962751008,4.22163962751007,4.22163962751008,1.11022302462516e-16
0.0219,8.27080574274562,4.13540287137281,4.13540287137281,4.13540287137281,1.11022302462516e-16
0.022,8.09016994374947,4.04508497187473,4.04508497187473,4.04508497187473,5.55111512312578e-17
0.0221,7.90155012375691,3.95077506187845,3.95077506187845,3.95077506187845,5.55111512312578e-17
0.0222,7.70513242775789,3.85256621387894,3.85256621387894,3.85256621387894,5.55111512312578e-17
0.0223,7.5011106963046,3.7505553481523,3.7505553481523,3.7505553481523,5.55111512312578e-17
0.0224,7.28968627421411,3.64484313710705,3.64484313710705,3.64484313710706,5.55111512312578e-17
0.0225,7.07106781186547,3.53553390593274,3.53553390593273,3.53553390593274,5.55111512312578e-17
0.0226,6.84547105928688,3.42273552964344,3.42273552964344,3.42273552964344,5.55111512312578e-17
0.0227,6.61311865323652,3.30655932661826,3.30655932661826,3.30655932661826,5.55111512312578e-17
0.0228,6.3742398974869,3.18711994874345,3.18711994874345,3.18711994874345,0
0.0229,6.12907053652977,3.06453526826488,3.06453526826488,3.06453526826488,0
0.023,5.87785252292473,2.93892626146237,2.93892626146237,2.93892626146237,5.55111512312578e-17
0.0231,5.6208337785213,2.81041688926065,2.81041688926065,2.81041688926065,5.55111512312578e-17
0.0232,5.35826794978997,2.67913397489499,2.67913397489499,2.67913397489499,0
0.0233,5.09041415750371,2.54520707875185,2.54520707875185,2.54520707875185,0
0.0234,4.81753674101716,2.40876837050858,2.40876837050858,2.40876837050858,5.55111512312578e-17
0.0235,4.53990499739546,2.26995249869773,2.26995249869773,2.26995249869773,2.77555756156289e-17
0.0236,4.25779291565074,2.12889645782537,2.12889645782537,2.12889645782537,5.55111512312578e-17
0.0237,3.97147890634781,1.9857394531739,1.9857394531739,1.9857394531739,2.77555756156289e-17
