"time","voltageSource.v","resistor.v","inductor.v","capacitor.v","der(capacitor.v)","inductor.i","der(voltageSource.i)"
0.0278,-7.705132427757892,-0.1020575693860466,0.003754645168810633,-7.606829503540657,-2041.151387720931,-0.01020575693860466,-3.754645168810633
0.0279,-7.901550123756903,-0.09825305616636666,0.003858997645631135,-7.807156065236168,-1965.061123327333,-0.009825305616636667,-3.858997645631135
0.028,-8.090169943749482,-0.09434720163355928,0.003953354170469936,-7.999776096286392,-1886.944032671186,-0.009434720163355928,-3.953354170469936
0.0281,-8.270805742745615,-0.09034953433055454,0.004036781718433247,-8.184492990133494,-1806.990686611091,-0.009034953433055454,-4.036781718433247
0.0282,-8.443279255020148,-0.08626945461914366,0.00411805150900868,-8.361127851910013,-1725.389092382873,-0.008626945461914367,-4.11805150900868
0.0283,-8.607420270039441,-0.08210750060964105,0.004202768372769228,-8.529515537802569,-1642.150012192821,-0.008210750060964105,-4.202768372769228
0.0284,-8.763066800438629,-0.07786223542805981,0.004290085819569356,-8.689494650830138,-1557.244708561196,-0.007786223542805982,-4.290085819569356
0.0285,-8.910065241883681,-0.07353407701389461,0.004371131118805494,-8.840902295988592,-1470.681540277892,-0.007353407701389461,-4.371131118805494
0.0286,-9.048270524660197,-0.06912951107883872,0.004439720573245154,-8.983580734154604,-1382.590221576774,-0.006912951107883872,-4.439720573245154
0.0287,-9.177546256839813,-0.06465884318927674,0.004497026112169067,-9.117384439762706,-1293.176863785535,-0.006465884318927674,-4.497026112169067
0.0288,-9.297764858882514,-0.06013166781589875,0.00455248426020205,-9.242185675326818,-1202.633356317975,-0.006013166781589875,-4.55248426020205
0.0289,-9.408807689542254,-0.05554944874989885,0.004614550998113032,-9.357872791790468,-1110.988974997977,-0.005554944874989885,-4.614550998113032
0.029,-9.510565162951535,-0.05090770826483896,0.004678292430986275,-9.464335747117682,-1018.154165296779,-0.005090770826483896,-4.678292430986275
0.0291,-9.60293685676943,-0.04620583517855702,0.004730920334377942,-9.561461941925252,-924.1167035711403,-0.004620583517855702,-4.730920334377942
0.0292,-9.685831611286309,-0.04145580099265125,0.004763900940210064,-9.649139711233868,-829.1160198530249,-0.004145580099265125,-4.763900940210064
0.0293,-9.759167619387476,-0.03667506083633294,0.004787942205135565,-9.727280500756279,-733.5012167266588,-0.003667506083633294,-4.787942205135565
