time,v2_0
4.044200e+00,4067.245057
4.044250e+00,3818.008935
4.044300e+00,3567.830776
4.044350e+00,3316.772309
4.044400e+00,3064.895478
4.044450e+00,2812.262430
4.044500e+00,2558.935498
4.044550e+00,2304.977187
4.044600e+00,2050.450158
4.044650e+00,1795.417212
4.044700e+00,1539.941273
4.044750e+00,1284.085376
4.044800e+00,1027.912651
4.044850e+00,771.486304
4.044900e+00,514.869605
4.044950e+00,258.125869
4.045000e+00,1.318444
4.045050e+00,-255.489305
4.045100e+00,-512.234016
4.045150e+00,-768.852341
4.045200e+00,-1025.280963
4.045250e+00,-1281.456613
4.045300e+00,-1537.316081
4.045350e+00,-1792.796240
4.045400e+00,-2047.834054
4.045450e+00,-2302.366594
4.045500e+00,-2556.331060
4.045550e+00,-2809.664789
4.045600e+00,-3062.305276
4.045650e+00,-3314.190184
4.045700e+00,-3565.257366
4.045750e+00,-3815.444873
4.045800e+00,-4064.690976
4.045850e+00,-4312.934178
4.045900e+00,-4560.113227
4.045950e+00,-4806.167136
4.046000e+00,-5051.035196
4.046050e+00,-5294.656988
4.046100e+00,-5536.972402
4.046150e+00,-5777.921652
4.046200e+00,-6017.445285
4.046250e+00,-6255.484204
4.046300e+00,-6491.979675
4.046350e+00,-6726.873348
4.046400e+00,-6960.107265
4.046450e+00,-7191.623879
4.046500e+00,-7421.366068
4.046550e+00,-7649.277146
4.046600e+00,-7875.300878
4.046650e+00,-8099.381498
4.046700e+00,-8321.463717
4.046750e+00,-8541.492739
4.046800e+00,-8759.414275
4.046850e+00,-8975.174557
4.046900e+00,-9188.720349
4.046950e+00,-9399.998961
4.047000e+00,-9608.958264
4.047050e+00,-9815.546700
4.047100e+00,-10019.713297
4.047150e+00,-10221.407679
4.047200e+00,-10420.580082
4.047250e+00,-10617.181362
4.047300e+00,-10811.163012
4.047350e+00,-11002.477169
4.047400e+00,-11191.076629
4.047450e+00,-11376.914858
4.047500e+00,-11559.946004
4.047550e+00,-11740.124906
4.047600e+00,-11917.407108
4.047650e+00,-12091.748867
4.047700e+00,-12263.107169
4.047750e+00,-12431.439732
4.047800e+00,-12596.705023
4.047850e+00,-12758.862266
4.047900e+00,-12917.871450
4.047950e+00,-13073.693342
4.048000e+00,-13226.289497
4.048050e+00,-13375.622262
4.048100e+00,-13521.654792
4.048150e+00,-13664.351056
4.048200e+00,-13803.675847
4.048250e+00,-13939.594786
